algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
RANDOM,1,4,0,0,2.2172927856445312e-05,False,1
BFS,1,6972,95,95,0.016997575759887695,True,1
DFS,1,4084,3793,3793,0.03564643859863281,True,1
DLS50,1,1369,0,0,0.0029790401458740234,False,1
DLS75,1,2697,0,0,0.009160518646240234,False,1
DLS100,1,4104,0,0,0.010354280471801758,False,1
UCS,1,6972,95,95,0.024324893951416016,True,1
A*,1,1471,95,95,0.005125522613525391,True,1
RANDOM,1,61,0,0,0.00032448768615722656,False,2
BFS,1,6972,95,374,0.016453027725219727,True,2
DFS,1,4084,3793,11524,0.011989593505859375,True,2
DLS50,1,1369,0,0,0.0024983882904052734,False,2
DLS75,1,2697,0,0,0.007969856262207031,False,2
DLS100,1,4104,0,0,0.009127616882324219,False,2
UCS,1,5941,95,374,0.018238544464111328,True,2
A*,1,1471,95,374,0.004809856414794922,True,2
RANDOM,2,12,0,0,3.457069396972656e-05,False,1
BFS,2,8655,102,102,0.01862335205078125,True,1
DFS,2,2154,2066,2066,0.005779266357421875,True,1
DLS50,2,1681,0,0,0.0029103755950927734,False,1
DLS75,2,3081,0,0,0.008699417114257812,False,1
DLS100,2,3473,0,0,0.007421970367431641,False,1
UCS,2,8655,102,102,0.02483201026916504,True,1
A*,2,2189,102,102,0.0067784786224365234,True,1
RANDOM,2,5,0,0,2.2172927856445312e-05,False,2
BFS,2,8655,102,660,0.018375396728515625,True,2
DFS,2,2154,2066,6080,0.006148099899291992,True,2
DLS50,2,1681,0,0,0.0029010772705078125,False,2
DLS75,2,3081,0,0,0.008661746978759766,False,2
DLS100,2,3473,0,0,0.007238864898681641,False,2
UCS,2,8143,102,660,0.02519822120666504,True,2
A*,2,2189,102,660,0.007528066635131836,True,2
RANDOM,3,24,0,0,7.343292236328125e-05,False,1
BFS,3,4597,99,99,0.009588479995727539,True,1
DFS,3,7259,6677,6677,0.04742789268493652,True,1
DLS50,3,284,0,0,0.0006039142608642578,False,1
DLS75,3,383,0,0,0.0011322498321533203,False,1
DLS100,3,641,0,0,0.0015091896057128906,False,1
UCS,3,4597,99,99,0.015134572982788086,True,1
A*,3,520,99,99,0.0018172264099121094,True,1
RANDOM,3,19,0,0,9.059906005859375e-05,False,2
BFS,3,4597,99,909,0.011132240295410156,True,2
DFS,3,7259,6677,20807,0.023395776748657227,True,2
DLS50,3,284,0,0,0.0005736351013183594,False,2
DLS75,3,383,0,0,0.0010721683502197266,False,2
DLS100,3,641,0,0,0.001436471939086914,False,2
UCS,3,7961,99,909,0.025834321975708008,True,2
A*,3,519,99,909,0.0018718242645263672,True,2
RANDOM,4,5,0,0,2.0265579223632812e-05,False,1
BFS,4,6044,78,78,0.0143890380859375,True,1
DFS,4,3205,3000,3000,0.009222984313964844,True,1
DLS50,4,546,0,0,0.0009622573852539062,False,1
DLS75,4,769,0,0,0.0022029876708984375,False,1
DLS100,4,1765,0,0,0.003973960876464844,False,1
UCS,4,6044,78,78,0.017450332641601562,True,1
A*,4,1033,78,78,0.0031909942626953125,True,1
RANDOM,4,2,0,0,1.4066696166992188e-05,False,2
BFS,4,6044,78,285,0.013113975524902344,True,2
DFS,4,3205,3000,9867,0.008692741394042969,True,2
DLS50,4,546,0,0,0.0009655952453613281,False,2
DLS75,4,769,0,0,0.002183198928833008,False,2
DLS100,4,1765,0,0,0.003966569900512695,False,2
UCS,4,4575,78,285,0.013795614242553711,True,2
A*,4,1033,78,285,0.003401041030883789,True,2
RANDOM,5,3,0,0,1.049041748046875e-05,False,1
BFS,5,3984,51,51,0.008439302444458008,True,1
DFS,5,1701,1581,1581,0.004571676254272461,True,1
DLS50,5,825,0,0,0.0014295578002929688,False,1
DLS75,5,2524,0,0,0.007301807403564453,False,1
DLS100,5,2739,99,99,0.005853414535522461,True,1
UCS,5,3984,51,51,0.0114898681640625,True,1
A*,5,135,51,51,0.0004744529724121094,True,1
RANDOM,5,15,0,0,4.8160552978515625e-05,False,2
BFS,5,3984,51,483,0.03227567672729492,True,2
DFS,5,1701,1581,4803,0.005446910858154297,True,2
DLS50,5,825,0,0,0.0016613006591796875,False,2
DLS75,5,2524,0,0,0.008716821670532227,False,2
DLS100,5,2739,99,549,0.007325172424316406,True,2
UCS,5,7876,51,483,0.027791976928710938,True,2
A*,5,135,51,483,0.0005552768707275391,True,2
RANDOM,6,22,0,0,9.512901306152344e-05,False,1
BFS,6,8361,113,113,0.01909661293029785,True,1
DFS,6,7612,7065,7065,0.02225971221923828,True,1
DLS50,6,1080,0,0,0.001950979232788086,False,1
DLS75,6,1971,0,0,0.006057024002075195,False,1
DLS100,6,2576,0,0,0.0056476593017578125,False,1
UCS,6,8361,113,113,0.0246274471282959,True,1
A*,6,2614,113,113,0.007975101470947266,True,1
RANDOM,6,10,0,0,3.1948089599609375e-05,False,2
BFS,6,8361,113,743,0.017609834671020508,True,2
DFS,6,7612,7065,21393,0.04780745506286621,True,2
DLS50,6,1080,0,0,0.0021703243255615234,False,2
DLS75,6,1971,0,0,0.007078886032104492,False,2
DLS100,6,2576,0,0,0.0065119266510009766,False,2
UCS,6,8724,113,743,0.030675411224365234,True,2
A*,6,2614,113,743,0.009711265563964844,True,2
RANDOM,7,8,0,0,2.7894973754882812e-05,False,1
BFS,7,5035,63,63,0.011686325073242188,True,1
DFS,7,3195,2911,2911,0.00887608528137207,True,1
DLS50,7,1004,0,0,0.0017020702362060547,False,1
DLS75,7,1569,0,0,0.004616975784301758,False,1
DLS100,7,1499,0,0,0.003333568572998047,False,1
UCS,7,5035,63,63,0.01436305046081543,True,1
A*,7,919,63,63,0.0026776790618896484,True,1
RANDOM,7,11,0,0,2.6464462280273438e-05,False,2
BFS,7,5035,63,333,0.010913372039794922,True,2
DFS,7,3195,2911,8401,0.008812665939331055,True,2
DLS50,7,1004,0,0,0.0017104148864746094,False,2
DLS75,7,1569,0,0,0.0046427249908447266,False,2
DLS100,7,1499,0,0,0.003329753875732422,False,2
UCS,7,4537,63,333,0.01367044448852539,True,2
A*,7,919,63,333,0.0029900074005126953,True,2
RANDOM,8,8,0,0,1.8596649169921875e-05,False,1
BFS,8,3107,48,48,0.006504058837890625,True,1
DFS,8,2913,2766,2766,0.008081674575805664,True,1
DLS50,8,759,0,0,0.0013306140899658203,False,1
DLS75,8,1630,0,0,0.004966259002685547,False,1
DLS100,8,1117,0,0,0.002456188201904297,False,1
UCS,8,3107,48,48,0.008693456649780273,True,1
A*,8,414,48,48,0.0012221336364746094,True,1
RANDOM,8,31,0,0,8.344650268554688e-05,False,2
BFS,8,3107,48,174,0.006632804870605469,True,2
DFS,8,2913,2766,8112,0.008365631103515625,True,2
DLS50,8,759,0,0,0.0013267993927001953,False,2
DLS75,8,1630,0,0,0.005188465118408203,False,2
DLS100,8,1117,0,0,0.0025806427001953125,False,2
UCS,8,2643,48,174,0.008179664611816406,True,2
A*,8,414,48,174,0.0012655258178710938,True,2
RANDOM,9,12,0,0,3.6716461181640625e-05,False,1
BFS,9,6591,101,101,0.014472007751464844,True,1
DFS,9,434,423,423,0.00119781494140625,True,1
DLS50,9,968,0,0,0.0016782283782958984,False,1
DLS75,9,1676,0,0,0.005086421966552734,False,1
DLS100,9,2474,0,0,0.005232572555541992,False,1
UCS,9,6591,101,101,0.01896190643310547,True,1
A*,9,799,101,101,0.002526998519897461,True,1
RANDOM,9,14,0,0,4.863739013671875e-05,False,2
BFS,9,6591,101,209,0.014069318771362305,True,2
DFS,9,434,423,999,0.0011966228485107422,True,2
DLS50,9,968,0,0,0.0016820430755615234,False,2
DLS75,9,1676,0,0,0.005044221878051758,False,2
DLS100,9,2474,0,0,0.005189418792724609,False,2
UCS,9,2999,101,209,0.009734153747558594,True,2
A*,9,837,101,209,0.0027332305908203125,True,2
RANDOM,10,100,0,0,0.00030803680419921875,False,1
BFS,10,4057,64,64,0.008395910263061523,True,1
DFS,10,4736,4436,4436,0.03769946098327637,True,1
DLS50,10,1650,0,0,0.003355264663696289,False,1
DLS75,10,2720,0,0,0.009016990661621094,False,1
DLS100,10,1548,94,94,0.0037848949432373047,True,1
UCS,10,4057,64,64,0.013560295104980469,True,1
A*,10,885,64,64,0.003175497055053711,True,1
RANDOM,10,57,0,0,0.00032973289489746094,False,2
BFS,10,4057,64,316,0.00967097282409668,True,2
DFS,10,4736,4436,13256,0.01392674446105957,True,2
DLS50,10,1650,0,0,0.002895832061767578,False,2
DLS75,10,2720,0,0,0.00754237174987793,False,2
DLS100,10,1548,94,400,0.003374338150024414,True,2
UCS,10,3902,64,316,0.013225078582763672,True,2
A*,10,885,64,316,0.0030875205993652344,True,2
RANDOM,11,18,0,0,9.489059448242188e-05,False,1
BFS,11,2904,57,57,0.006218910217285156,True,1
DFS,11,1032,965,965,0.0027589797973632812,True,1
DLS50,11,335,0,0,0.0005941390991210938,False,1
DLS75,11,514,0,0,0.0014719963073730469,False,1
DLS100,11,569,0,0,0.0013887882232666016,False,1
UCS,11,2904,57,57,0.008156776428222656,True,1
A*,11,223,57,57,0.0007071495056152344,True,1
RANDOM,11,17,0,0,7.05718994140625e-05,False,2
BFS,11,2904,57,102,0.006113529205322266,True,2
DFS,11,1032,965,2864,0.0026941299438476562,True,2
DLS50,11,335,0,0,0.0005934238433837891,False,2
DLS75,11,514,0,0,0.0014460086822509766,False,2
DLS100,11,569,0,0,0.0013873577117919922,False,2
UCS,11,934,57,102,0.0026738643646240234,True,2
A*,11,251,57,102,0.0008440017700195312,True,2
RANDOM,12,10,0,0,5.173683166503906e-05,False,1
BFS,12,3728,50,50,0.007990121841430664,True,1
DFS,12,3325,3052,3052,0.00941157341003418,True,1
DLS50,12,910,0,0,0.0015583038330078125,False,1
DLS75,12,1425,0,0,0.003918170928955078,False,1
DLS100,12,1585,0,0,0.0038323402404785156,False,1
UCS,12,3728,50,50,0.010856389999389648,True,1
A*,12,550,50,50,0.001641988754272461,True,1
RANDOM,12,36,0,0,7.319450378417969e-05,False,2
BFS,12,3728,50,329,0.008021354675292969,True,2
DFS,12,3325,3052,9001,0.009270906448364258,True,2
DLS50,12,910,0,0,0.0015339851379394531,False,2
DLS75,12,1425,0,0,0.003930330276489258,False,2
DLS100,12,1585,0,0,0.003685474395751953,False,2
UCS,12,5135,50,329,0.015434741973876953,True,2
A*,12,550,50,329,0.0017621517181396484,True,2
RANDOM,13,19,0,0,4.6253204345703125e-05,False,1
BFS,13,1592,41,41,0.0034530162811279297,True,1
DFS,13,5854,5539,5539,0.04216766357421875,True,1
DLS50,13,1280,0,0,0.0025353431701660156,False,1
DLS75,13,2512,0,0,0.008467674255371094,False,1
DLS100,13,2579,99,99,0.006289243698120117,True,1
UCS,13,1592,41,41,0.005555629730224609,True,1
