algorithm_name,env_n,size,best_solution,H,states,time
HC,1,4,"[1, 3, 2, 0]",1,26,0.000127
HC,2,4,"[1, 3, 0, 2]",0,27,0.000118
HC,3,4,"[1, 0, 2, 3]",2,26,0.000116
HC,4,4,"[1, 2, 0, 3]",1,13,0.000065
HC,5,4,"[1, 2, 0, 3]",1,26,0.000088
HC,6,4,"[1, 3, 2, 0]",1,26,0.000088
HC,7,4,"[2, 1, 3, 0]",1,13,0.000042
HC,8,4,"[0, 2, 3, 1]",1,26,0.000086
HC,9,4,"[3, 0, 2, 1]",1,26,0.000084
HC,10,4,"[0, 3, 3, 0]",2,13,0.000040
HC,11,4,"[2, 0, 3, 1]",0,27,0.000092
HC,12,4,"[3, 0, 2, 1]",1,26,0.000083
HC,13,4,"[0, 2, 3, 1]",1,39,0.000136
HC,14,4,"[3, 1, 0, 2]",1,39,0.000126
HC,15,4,"[3, 0, 2, 1]",1,39,0.000126
HC,16,4,"[1, 3, 0, 2]",0,40,0.000131
HC,17,4,"[3, 0, 2, 1]",1,39,0.000123
HC,18,4,"[2, 0, 3, 1]",0,40,0.000131
HC,19,4,"[2, 0, 1, 3]",1,26,0.000084
HC,20,4,"[1, 3, 0, 2]",0,14,0.000052
HC,21,4,"[1, 3, 0, 2]",0,14,0.000051
HC,22,4,"[1, 2, 0, 3]",1,26,0.000084
HC,23,4,"[3, 1, 0, 2]",1,39,0.000124
HC,24,4,"[2, 0, 3, 1]",0,40,0.000128
HC,25,4,"[3, 1, 0, 2]",1,39,0.000124
HC,26,4,"[2, 1, 3, 0]",1,26,0.000084
HC,27,4,"[3, 0, 2, 1]",1,26,0.000084
HC,28,4,"[0, 2, 3, 1]",1,39,0.000124
HC,29,4,"[1, 3, 2, 0]",1,39,0.000124
HC,30,4,"[2, 0, 1, 3]",1,26,0.000085
HC,1,8,"[5, 2, 4, 1, 7, 0, 3, 6]",1,285,0.002123
HC,2,8,"[0, 6, 1, 5, 2, 4, 7, 3]",1,171,0.001252
HC,3,8,"[6, 3, 5, 7, 2, 0, 7, 4]",2,228,0.001669
HC,4,8,"[0, 3, 1, 6, 7, 2, 4, 1]",2,228,0.001717
HC,5,8,"[4, 5, 0, 6, 3, 7, 2, 1]",2,171,0.001241
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 5]",1,171,0.001241
HC,7,8,"[4, 2, 6, 3, 1, 7, 5, 0]",1,228,0.001648
HC,8,8,"[3, 5, 6, 2, 0, 7, 1, 4]",1,228,0.001674
HC,9,8,"[7, 1, 4, 6, 2, 0, 5, 3]",1,228,0.001654
HC,10,8,"[0, 5, 7, 1, 3, 7, 2, 4]",1,228,0.001651
HC,11,8,"[4, 0, 5, 3, 1, 7, 2, 2]",1,342,0.002480
HC,12,8,"[4, 2, 5, 1, 6, 0, 3, 7]",1,285,0.002068
HC,13,8,"[4, 4, 1, 3, 6, 3, 7, 2]",2,228,0.001613
HC,14,8,"[3, 6, 0, 2, 4, 1, 7, 4]",1,285,0.002044
HC,15,8,"[1, 7, 0, 6, 3, 5, 0, 4]",1,342,0.002436
HC,16,8,"[5, 1, 1, 6, 6, 3, 7, 0]",2,228,0.001659
HC,17,8,"[6, 3, 3, 7, 2, 4, 1, 0]",3,228,0.001658
HC,18,8,"[6, 1, 7, 5, 3, 0, 7, 4]",1,228,0.001647
HC,19,8,"[0, 1, 3, 6, 2, 7, 2, 4]",2,171,0.001250
HC,20,8,"[7, 4, 1, 5, 2, 0, 6, 3]",1,171,0.001245
HC,21,8,"[5, 0, 6, 4, 7, 1, 3, 2]",1,285,0.002056
HC,22,8,"[0, 6, 3, 7, 2, 4, 5, 1]",1,285,0.002060
HC,23,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,172,0.001252
HC,24,8,"[6, 2, 3, 7, 0, 4, 1, 5]",1,285,0.002093
HC,25,8,"[6, 1, 3, 5, 7, 2, 4, 0]",1,228,0.001608
HC,26,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,229,0.001578
HC,27,8,"[7, 0, 6, 3, 1, 6, 4, 2]",1,285,0.001938
HC,28,8,"[1, 4, 5, 0, 2, 7, 6, 3]",2,228,0.001588
HC,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,228,0.001558
HC,30,8,"[4, 0, 3, 5, 7, 1, 6, 2]",0,286,0.001964
HC,1,10,"[2, 9, 5, 8, 1, 4, 7, 0, 6, 3]",1,546,0.005484
HC,2,10,"[0, 6, 1, 5, 2, 8, 4, 8, 3, 9]",3,364,0.003859
HC,3,10,"[3, 6, 8, 2, 0, 9, 7, 4, 1, 9]",1,364,0.003656
HC,4,10,"[0, 5, 1, 9, 7, 2, 8, 3, 0, 4]",1,637,0.006894
HC,5,10,"[9, 4, 6, 8, 0, 7, 3, 0, 2, 1]",3,182,0.001962
HC,6,10,"[3, 1, 7, 4, 8, 0, 2, 9, 7, 5]",2,273,0.003088
HC,7,10,"[2, 0, 6, 3, 1, 8, 1, 5, 9, 0]",2,364,0.004192
HC,8,10,"[2, 5, 6, 1, 9, 0, 3, 7, 4, 8]",1,637,0.010477
HC,9,10,"[3, 9, 6, 8, 0, 2, 0, 5, 1, 4]",1,637,0.007205
HC,10,10,"[2, 2, 6, 1, 9, 0, 3, 7, 4, 8]",1,637,0.006991
HC,11,10,"[6, 4, 1, 5, 0, 9, 3, 2, 8, 7]",2,546,0.005870
HC,12,10,"[9, 1, 8, 5, 0, 6, 0, 5, 7, 4]",2,364,0.003878
HC,13,10,"[4, 0, 5, 3, 9, 6, 2, 5, 1, 8]",2,546,0.005737
HC,14,10,"[1, 9, 7, 3, 0, 2, 5, 1, 6, 4]",1,546,0.005867
HC,15,10,"[4, 0, 8, 0, 7, 3, 6, 9, 1, 5]",1,546,0.005739
HC,16,10,"[6, 1, 7, 0, 8, 3, 9, 0, 2, 4]",1,637,0.006697
HC,17,10,"[3, 6, 9, 7, 4, 2, 8, 5, 1, 0]",2,546,0.005716
HC,18,10,"[6, 1, 7, 5, 3, 0, 9, 4, 2, 7]",1,455,0.004784
HC,19,10,"[6, 3, 1, 7, 2, 0, 5, 8, 4, 9]",2,546,0.005694
HC,20,10,"[0, 4, 1, 5, 9, 2, 0, 8, 6, 1]",2,273,0.002728
HC,21,10,"[0, 6, 4, 9, 1, 3, 7, 2, 2, 8]",1,546,0.005546
HC,22,10,"[8, 3, 0, 9, 7, 2, 0, 6, 1, 5]",1,455,0.004567
HC,23,10,"[4, 1, 7, 9, 3, 0, 0, 8, 5, 2]",1,455,0.004592
HC,24,10,"[6, 9, 2, 0, 8, 3, 5, 1, 7, 4]",2,455,0.004651
HC,25,10,"[6, 8, 1, 5, 7, 0, 4, 0, 4, 9]",2,364,0.003629
HC,26,10,"[6, 3, 1, 4, 8, 0, 2, 7, 5, 9]",1,546,0.005536
HC,27,10,"[7, 0, 6, 9, 1, 1, 4, 8, 5, 2]",2,455,0.004522
HC,28,10,"[1, 3, 8, 6, 2, 0, 2, 7, 5, 3]",2,455,0.004563
HC,29,10,"[8, 3, 0, 9, 9, 4, 1, 7, 2, 6]",1,455,0.004551
HC,30,10,"[8, 2, 9, 3, 9, 7, 4, 0, 1, 6]",2,455,0.004505
SA,1,4,"[1, 3, 0, 2]",0,18,0.000117
SA,2,4,"[1, 3, 0, 2]",0,216,0.000994
SA,3,4,"[2, 0, 3, 1]",0,254,0.001165
SA,4,4,"[2, 0, 3, 1]",0,38,0.000180
SA,5,4,"[1, 3, 0, 2]",0,133,0.000604
SA,6,4,"[2, 0, 3, 1]",0,70,0.000318
SA,7,4,"[2, 0, 3, 1]",0,15,0.000071
SA,8,4,"[1, 3, 0, 2]",0,18,0.000086
SA,9,4,"[1, 3, 0, 2]",0,15,0.000073
SA,10,4,"[2, 0, 3, 1]",0,32,0.000146
SA,11,4,"[2, 0, 3, 1]",0,7,0.000037
SA,12,4,"[1, 3, 0, 2]",0,167,0.000760
SA,13,4,"[1, 3, 0, 2]",0,26,0.000123
SA,14,4,"[2, 0, 3, 1]",0,42,0.000190
SA,15,4,"[1, 3, 0, 2]",0,11,0.000055
SA,16,4,"[2, 0, 3, 1]",0,189,0.000850
SA,17,4,"[1, 3, 0, 2]",0,68,0.000314
SA,18,4,"[2, 0, 3, 1]",0,173,0.000799
SA,19,4,"[2, 0, 3, 1]",0,184,0.000843
SA,20,4,"[2, 0, 3, 1]",0,256,0.001180
SA,21,4,"[2, 0, 3, 1]",0,125,0.000574
SA,22,4,"[1, 3, 0, 2]",0,89,0.000402
SA,23,4,"[2, 0, 3, 1]",0,19,0.000090
SA,24,4,"[1, 3, 0, 2]",0,231,0.001049
SA,25,4,"[2, 0, 3, 1]",0,37,0.000179
SA,26,4,"[1, 3, 0, 2]",0,34,0.000159
SA,27,4,"[2, 0, 3, 1]",0,17,0.000081
SA,28,4,"[2, 0, 3, 1]",0,121,0.000560
SA,29,4,"[2, 0, 3, 1]",0,92,0.000417
SA,30,4,"[1, 3, 0, 2]",0,86,0.000386
SA,1,8,"[1, 5, 2, 0, 3, 7, 4, 2]",1,1795,0.015923
SA,2,8,"[4, 0, 5, 3, 1, 6, 4, 2]",1,1795,0.015810
SA,3,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,929,0.008132
SA,4,8,"[4, 0, 3, 5, 7, 1, 6, 2]",0,546,0.004782
SA,5,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,823,0.007257
SA,6,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,899,0.008780
SA,7,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,811,0.007268
SA,8,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,484,0.004252
SA,9,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,721,0.006324
SA,10,8,"[5, 2, 6, 1, 3, 7, 0, 4]",0,910,0.008020
SA,11,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,892,0.007823
SA,12,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,856,0.007628
SA,13,8,"[1, 5, 2, 0, 7, 0, 4, 6]",1,1795,0.017117
SA,14,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,685,0.005997
SA,15,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,1364,0.011991
SA,16,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,682,0.006009
SA,17,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,739,0.006504
SA,18,8,"[1, 7, 4, 6, 0, 2, 5, 7]",1,1795,0.015965
SA,19,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,638,0.005592
SA,20,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,924,0.008193
SA,21,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,629,0.005278
SA,22,8,"[4, 0, 3, 5, 7, 1, 6, 2]",0,1568,0.013177
SA,23,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,914,0.008132
SA,24,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,1120,0.009436
SA,25,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,633,0.005292
SA,26,8,"[2, 4, 7, 0, 0, 3, 1, 6]",1,1795,0.015865
SA,27,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,717,0.006262
SA,28,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,823,0.007253
SA,29,8,"[6, 3, 1, 4, 7, 0, 2, 5]",0,1530,0.013226
