algorithm,n,seed,time,nodes,found
backtracking,4,1,0.0001380443572998047,60,1
backtracking,4,2,0.0001125335693359375,60,1
backtracking,4,3,0.00011014938354492188,60,1
backtracking,4,4,0.00011110305786132812,60,1
backtracking,4,5,0.00010943412780761719,60,1
backtracking,4,6,0.000164031982421875,60,1
backtracking,4,7,0.00017976760864257812,60,1
backtracking,4,8,0.00017380714416503906,60,1
backtracking,4,9,0.0002067089080810547,60,1
backtracking,4,10,0.0001761913299560547,60,1
backtracking,4,11,0.00020003318786621094,60,1
backtracking,4,12,0.0001685619354248047,60,1
backtracking,4,13,0.00011372566223144531,60,1
backtracking,4,14,0.00011181831359863281,60,1
backtracking,4,15,0.00012731552124023438,60,1
backtracking,4,16,0.00012564659118652344,60,1
backtracking,4,17,0.00010967254638671875,60,1
backtracking,4,18,0.00010991096496582031,60,1
backtracking,4,19,0.00011014938354492188,60,1
backtracking,4,20,0.00018072128295898438,60,1
backtracking,4,21,0.0001983642578125,60,1
backtracking,4,22,0.0001735687255859375,60,1
backtracking,4,23,0.0001914501190185547,60,1
backtracking,4,24,0.00011181831359863281,60,1
backtracking,4,25,0.00011229515075683594,60,1
backtracking,4,26,0.00011038780212402344,60,1
backtracking,4,27,0.00011396408081054688,60,1
backtracking,4,28,0.0001125335693359375,60,1
backtracking,4,29,0.00016546249389648438,60,1
backtracking,4,30,0.00017213821411132812,60,1
backtracking,8,1,0.0636591911315918,15720,1
backtracking,8,2,0.05748152732849121,15720,1
backtracking,8,3,0.05927896499633789,15720,1
backtracking,8,4,0.07431793212890625,15720,1
backtracking,8,5,0.059459686279296875,15720,1
backtracking,8,6,0.059658050537109375,15720,1
backtracking,8,7,0.05724000930786133,15720,1
backtracking,8,8,0.05603957176208496,15720,1
backtracking,8,9,0.05570816993713379,15720,1
backtracking,8,10,0.05612015724182129,15720,1
backtracking,8,11,0.05639457702636719,15720,1
backtracking,8,12,0.05623316764831543,15720,1
backtracking,8,13,0.056427717208862305,15720,1
backtracking,8,14,0.0626535415649414,15720,1
backtracking,8,15,0.10634088516235352,15720,1
backtracking,8,16,0.10571575164794922,15720,1
backtracking,8,17,0.07851481437683105,15720,1
backtracking,8,18,0.056969404220581055,15720,1
backtracking,8,19,0.06413984298706055,15720,1
backtracking,8,20,0.05646395683288574,15720,1
backtracking,8,21,0.05537247657775879,15720,1
backtracking,8,22,0.05049562454223633,15720,1
backtracking,8,23,0.0505983829498291,15720,1
backtracking,8,24,0.05044698715209961,15720,1
backtracking,8,25,0.05038785934448242,15720,1
backtracking,8,26,0.0506291389465332,15720,1
backtracking,8,27,0.05044388771057129,15720,1
backtracking,8,28,0.05039644241333008,15720,1
backtracking,8,29,0.0503993034362793,15720,1
backtracking,8,30,0.05085563659667969,15720,1
backtracking,10,1,1.7113561630249023,348150,1
backtracking,10,2,1.6696197986602783,348150,1
backtracking,10,3,1.908766269683838,348150,1
backtracking,10,4,1.8900270462036133,348150,1
backtracking,10,5,1.8264966011047363,348150,1
backtracking,10,6,1.7248954772949219,348150,1
backtracking,10,7,1.6658990383148193,348150,1
backtracking,10,8,1.5739798545837402,348150,1
backtracking,10,9,1.5096321105957031,348150,1
backtracking,10,10,1.5431432723999023,348150,1
backtracking,10,11,1.4822468757629395,348150,1
backtracking,10,12,1.5727391242980957,348150,1
backtracking,10,13,1.5759921073913574,348150,1
backtracking,10,14,1.6123878955841064,348150,1
backtracking,10,15,1.6171317100524902,348150,1
backtracking,10,16,1.5623910427093506,348150,1
backtracking,10,17,1.4670848846435547,348150,1
backtracking,10,18,1.4617016315460205,348150,1
backtracking,10,19,1.4975440502166748,348150,1
backtracking,10,20,1.5159237384796143,348150,1
backtracking,10,21,1.7215907573699951,348150,1
backtracking,10,22,1.5723440647125244,348150,1
backtracking,10,23,1.4695696830749512,348150,1
backtracking,10,24,1.4701521396636963,348150,1
backtracking,10,25,1.5110855102539062,348150,1
backtracking,10,26,1.5180928707122803,348150,1
backtracking,10,27,1.525404930114746,348150,1
backtracking,10,28,1.466057300567627,348150,1
backtracking,10,29,1.4903514385223389,348150,1
backtracking,10,30,1.4710066318511963,348150,1
csp,4,1,0.0001914501190185547,16,1
csp,4,2,0.0001304149627685547,16,1
csp,4,3,0.00012230873107910156,16,1
csp,4,4,0.00012874603271484375,16,1
csp,4,5,0.00011801719665527344,16,1
csp,4,6,0.00011682510375976562,16,1
csp,4,7,0.00011610984802246094,16,1
csp,4,8,0.00011563301086425781,16,1
csp,4,9,0.00011491775512695312,16,1
csp,4,10,0.00011610984802246094,16,1
csp,4,11,0.00011539459228515625,16,1
csp,4,12,0.0001201629638671875,16,1
csp,4,13,0.00011467933654785156,16,1
csp,4,14,0.00011420249938964844,16,1
csp,4,15,0.00011539459228515625,16,1
csp,4,16,0.00011396408081054688,16,1
csp,4,17,0.00011396408081054688,16,1
csp,4,18,0.00011539459228515625,16,1
csp,4,19,0.0001201629638671875,16,1
csp,4,20,0.00011491775512695312,16,1
csp,4,21,0.00011420249938964844,16,1
csp,4,22,0.00011372566223144531,16,1
csp,4,23,0.00011396408081054688,16,1
csp,4,24,0.00011467933654785156,16,1
csp,4,25,0.00011515617370605469,16,1
csp,4,26,0.00011610984802246094,16,1
csp,4,27,0.00012063980102539062,16,1
csp,4,28,0.00011539459228515625,16,1
csp,4,29,0.00011563301086425781,16,1
csp,4,30,0.00011539459228515625,16,1
csp,8,1,0.022982358932495117,1995,1
csp,8,2,0.022235393524169922,1995,1
csp,8,3,0.021497011184692383,1995,1
csp,8,4,0.020908117294311523,1995,1
csp,8,5,0.020429611206054688,1995,1
csp,8,6,0.01879715919494629,1995,1
csp,8,7,0.01916337013244629,1995,1
csp,8,8,0.019598722457885742,1995,1
csp,8,9,0.0189208984375,1995,1
csp,8,10,0.018598556518554688,1995,1
csp,8,11,0.01921701431274414,1995,1
csp,8,12,0.019104719161987305,1995,1
