algorithm,n,seed,time,nodes,found
backtracking,4,1,7.677078247070312e-05,60,1
backtracking,4,2,6.246566772460938e-05,60,1
backtracking,4,3,6.198883056640625e-05,60,1
backtracking,4,4,6.103515625e-05,60,1
backtracking,4,5,6.079673767089844e-05,60,1
backtracking,4,6,6.341934204101562e-05,60,1
backtracking,4,7,6.079673767089844e-05,60,1
backtracking,4,8,6.127357482910156e-05,60,1
backtracking,4,9,9.202957153320312e-05,60,1
backtracking,4,10,6.103515625e-05,60,1
backtracking,4,11,6.079673767089844e-05,60,1
backtracking,4,12,6.079673767089844e-05,60,1
backtracking,4,13,6.198883056640625e-05,60,1
backtracking,4,14,6.127357482910156e-05,60,1
backtracking,4,15,6.079673767089844e-05,60,1
backtracking,4,16,6.246566772460938e-05,60,1
backtracking,4,17,6.127357482910156e-05,60,1
backtracking,4,18,6.151199340820312e-05,60,1
backtracking,4,19,6.175041198730469e-05,60,1
backtracking,4,20,6.103515625e-05,60,1
backtracking,4,21,6.103515625e-05,60,1
backtracking,4,22,6.103515625e-05,60,1
backtracking,4,23,6.151199340820312e-05,60,1
backtracking,4,24,6.127357482910156e-05,60,1
backtracking,4,25,6.127357482910156e-05,60,1
backtracking,4,26,6.151199340820312e-05,60,1
backtracking,4,27,6.151199340820312e-05,60,1
backtracking,4,28,6.127357482910156e-05,60,1
backtracking,4,29,6.198883056640625e-05,60,1
backtracking,4,30,6.151199340820312e-05,60,1
backtracking,8,1,0.032506704330444336,15720,1
backtracking,8,2,0.03225088119506836,15720,1
backtracking,8,3,0.03224897384643555,15720,1
backtracking,8,4,0.03088831901550293,15720,1
backtracking,8,5,0.031128883361816406,15720,1
backtracking,8,6,0.032301902770996094,15720,1
backtracking,8,7,0.03098750114440918,15720,1
backtracking,8,8,0.03042745590209961,15720,1
backtracking,8,9,0.030138015747070312,15720,1
backtracking,8,10,0.03135371208190918,15720,1
backtracking,8,11,0.03415703773498535,15720,1
backtracking,8,12,0.03213238716125488,15720,1
backtracking,8,13,0.03090214729309082,15720,1
backtracking,8,14,0.02967381477355957,15720,1
backtracking,8,15,0.029612302780151367,15720,1
backtracking,8,16,0.03024578094482422,15720,1
backtracking,8,17,0.030878067016601562,15720,1
backtracking,8,18,0.03238868713378906,15720,1
backtracking,8,19,0.0314946174621582,15720,1
backtracking,8,20,0.0302886962890625,15720,1
backtracking,8,21,0.029175996780395508,15720,1
backtracking,8,22,0.029235363006591797,15720,1
backtracking,8,23,0.02969527244567871,15720,1
backtracking,8,24,0.028964757919311523,15720,1
backtracking,8,25,0.02863764762878418,15720,1
backtracking,8,26,0.029174327850341797,15720,1
backtracking,8,27,0.03027510643005371,15720,1
backtracking,8,28,0.029415369033813477,15720,1
backtracking,8,29,0.029158592224121094,15720,1
backtracking,8,30,0.028667449951171875,15720,1
backtracking,10,1,0.8866920471191406,348150,1
backtracking,10,2,0.8547017574310303,348150,1
backtracking,10,3,0.8559200763702393,348150,1
backtracking,10,4,0.8773930072784424,348150,1
backtracking,10,5,0.8426427841186523,348150,1
backtracking,10,6,0.8526411056518555,348150,1
backtracking,10,7,0.8423521518707275,348150,1
backtracking,10,8,0.8366544246673584,348150,1
backtracking,10,9,0.8406574726104736,348150,1
backtracking,10,10,0.8365416526794434,348150,1
backtracking,10,11,0.8400180339813232,348150,1
backtracking,10,12,0.8359806537628174,348150,1
backtracking,10,13,0.8365261554718018,348150,1
backtracking,10,14,0.8360180854797363,348150,1
backtracking,10,15,0.8445239067077637,348150,1
backtracking,10,16,0.8518049716949463,348150,1
backtracking,10,17,0.844531774520874,348150,1
backtracking,10,18,0.8517167568206787,348150,1
backtracking,10,19,0.8491823673248291,348150,1
backtracking,10,20,0.8569502830505371,348150,1
backtracking,10,21,0.8527185916900635,348150,1
backtracking,10,22,0.8532681465148926,348150,1
backtracking,10,23,0.8532874584197998,348150,1
backtracking,10,24,0.8503413200378418,348150,1
backtracking,10,25,0.8557310104370117,348150,1
backtracking,10,26,0.856391429901123,348150,1
backtracking,10,27,0.8550722599029541,348150,1
backtracking,10,28,0.8522577285766602,348150,1
backtracking,10,29,0.8622653484344482,348150,1
backtracking,10,30,0.8524246215820312,348150,1
csp,4,1,0.00012636184692382812,16,1
csp,4,2,7.62939453125e-05,16,1
csp,4,3,0.00010013580322265625,16,1
csp,4,4,7.414817810058594e-05,16,1
csp,4,5,7.200241088867188e-05,16,1
csp,4,6,7.128715515136719e-05,16,1
csp,4,7,6.985664367675781e-05,16,1
csp,4,8,6.961822509765625e-05,16,1
csp,4,9,6.937980651855469e-05,16,1
csp,4,10,6.961822509765625e-05,16,1
csp,4,11,6.985664367675781e-05,16,1
csp,4,12,7.557868957519531e-05,16,1
csp,4,13,6.890296936035156e-05,16,1
csp,4,14,8.177757263183594e-05,16,1
csp,4,15,6.794929504394531e-05,16,1
csp,4,16,6.723403930664062e-05,16,1
csp,4,17,6.771087646484375e-05,16,1
csp,4,18,6.771087646484375e-05,16,1
csp,4,19,6.771087646484375e-05,16,1
csp,4,20,6.747245788574219e-05,16,1
csp,4,21,6.723403930664062e-05,16,1
csp,4,22,6.699562072753906e-05,16,1
csp,4,23,6.747245788574219e-05,16,1
csp,4,24,6.699562072753906e-05,16,1
csp,4,25,7.319450378417969e-05,16,1
csp,4,26,6.771087646484375e-05,16,1
csp,4,27,6.771087646484375e-05,16,1
csp,4,28,6.794929504394531e-05,16,1
csp,4,29,6.723403930664062e-05,16,1
csp,4,30,6.699562072753906e-05,16,1
csp,8,1,0.01109457015991211,1995,1
csp,8,2,0.011635780334472656,1995,1
csp,8,3,0.01160883903503418,1995,1
csp,8,4,0.011219501495361328,1995,1
csp,8,5,0.011226654052734375,1995,1
csp,8,6,0.01132059097290039,1995,1
csp,8,7,0.011464357376098633,1995,1
csp,8,8,0.011200189590454102,1995,1
csp,8,9,0.011352062225341797,1995,1
csp,8,10,0.011201143264770508,1995,1
csp,8,11,0.010901927947998047,1995,1
csp,8,12,0.011391878128051758,1995,1
csp,8,13,0.011440753936767578,1995,1
csp,8,14,0.0109710693359375,1995,1
csp,8,15,0.011423826217651367,1995,1
csp,8,16,0.011255025863647461,1995,1
csp,8,17,0.010889768600463867,1995,1
csp,8,18,0.011345386505126953,1995,1
csp,8,19,0.011189460754394531,1995,1
csp,8,20,0.01092076301574707,1995,1
csp,8,21,0.011313438415527344,1995,1
csp,8,22,0.011175394058227539,1995,1
csp,8,23,0.010676860809326172,1995,1
csp,8,24,0.011378049850463867,1995,1
csp,8,25,0.011126995086669922,1995,1
csp,8,26,0.010869264602661133,1995,1
csp,8,27,0.011011600494384766,1995,1
csp,8,28,0.011074542999267578,1995,1
csp,8,29,0.010920047760009766,1995,1
csp,8,30,0.011220216751098633,1995,1
csp,10,1,0.47147417068481445,76018,1
csp,10,2,0.5123484134674072,76018,1
csp,10,3,0.47472429275512695,76018,1
csp,10,4,0.5229573249816895,76018,1
csp,10,5,0.5032784938812256,76018,1
csp,10,6,0.4984893798828125,76018,1
csp,10,7,0.5246574878692627,76018,1
csp,10,8,0.5445089340209961,76018,1
csp,10,9,0.5235400199890137,76018,1
csp,10,10,0.49464869499206543,76018,1
csp,10,11,0.5162973403930664,76018,1
csp,10,12,0.5210456848144531,76018,1
csp,10,13,0.5640943050384521,76018,1
csp,10,14,0.48813295364379883,76018,1
csp,10,15,0.48655152320861816,76018,1
csp,10,16,0.507573127746582,76018,1
csp,10,17,0.4799458980560303,76018,1
csp,10,18,0.5127205848693848,76018,1
csp,10,19,0.48029613494873047,76018,1
csp,10,20,0.5114080905914307,76018,1
csp,10,21,0.4837813377380371,76018,1
csp,10,22,0.5316333770751953,76018,1
csp,10,23,0.5004370212554932,76018,1
csp,10,24,0.5134978294372559,76018,1
csp,10,25,0.5319645404815674,76018,1
csp,10,26,0.5087428092956543,76018,1
csp,10,27,0.5714631080627441,76018,1
csp,10,28,0.5185883045196533,76018,1
csp,10,29,0.5474059581756592,76018,1
csp,10,30,0.5272040367126465,76018,1
